Serial number,CPU brand,CPU cores,CPU clock,RAM,Kernel version,macOS version,Hostname,Usernames
C02S9H00FVH5,Intel Core i5,2,2.7 GHz,8 GB,Darwin 18.6.0,macOS 10.14.5 (18F132),pinkpony’s MacBook Pro,pinkpony
C02RF34UG940,Intel Core i5,2,1.6 GHz,4 GB,Darwin 18.5.0,macOS 10.14.4 (18E226),anna.shishkanova,anna.shishkanova
